"NAME","NATIONALITY"
"santiago abreú","Hispanos_of_New_Mexico"
"nicolas de aguilar","Hispanos_of_New_Mexico"
"juan bautista vigil y alarid","Hispanos_of_New_Mexico"
"rudolfo anaya","Hispanos_of_New_Mexico"
"manuel armijo","Hispanos_of_New_Mexico"
"bartolomé baca","Hispanos_of_New_Mexico"
"polly baca","Hispanos_of_New_Mexico"
"ezequiel cabeza de baca","Hispanos_of_New_Mexico"
"josé francisco chaves","Hispanos_of_New_Mexico"
"manuel antonio chaves","Hispanos_of_New_Mexico"
"angelico chavez","Hispanos_of_New_Mexico"
"denise chavez","Hispanos_of_New_Mexico"
"dennis chavez","Hispanos_of_New_Mexico"
"linda chavez","Hispanos_of_New_Mexico"
"julian a. chavez","Hispanos_of_New_Mexico"
"francisco xavier chávez","Hispanos_of_New_Mexico"
"aurelio macedonio espinosa sr.","Hispanos_of_New_Mexico"
"aurelio macedonio espinosa jr.","Hispanos_of_New_Mexico"
"josé manuel gallegos","Hispanos_of_New_Mexico"
"demi lovato","Hispanos_of_New_Mexico"
"ben r. lujan","Hispanos_of_New_Mexico"
"manuel lujan","Hispanos_of_New_Mexico"
"tranquilino luna","Hispanos_of_New_Mexico"
"francisco antonio manzanares","Hispanos_of_New_Mexico"
"antonio josé martínez","Hispanos_of_New_Mexico"
"bernardo de miera y pacheco","Hispanos_of_New_Mexico"
"joseph montoya","Hispanos_of_New_Mexico"
"miguel antonio otero","Hispanos_of_New_Mexico"
"adelina orterowarren","Hispanos_of_New_Mexico"
"mariano s. otero","Hispanos_of_New_Mexico"
"francisco perea","Hispanos_of_New_Mexico"
"pedro perea","Hispanos_of_New_Mexico"
"juan bautista rael","Hispanos_of_New_Mexico"
"edward l. romero","Hispanos_of_New_Mexico"
"trinidad romero","Hispanos_of_New_Mexico"
"edward r. roybal","Hispanos_of_New_Mexico"
"john salazar","Hispanos_of_New_Mexico"
"ken salazar","Hispanos_of_New_Mexico"
"manuel de sandoval","Hispanos_of_New_Mexico"
"susana martinez","Hispanos_of_New_Mexico"
"diego sanchez","Hispanos_of_New_Mexico"
"abendaño","Hispanos_of_New_Mexico"
"abeyta","Hispanos_of_New_Mexico"
"alderete","Hispanos_of_New_Mexico"
"alire","Hispanos_of_New_Mexico"
"anaya almazán","Hispanos_of_New_Mexico"
"apodaca","Hispanos_of_New_Mexico"
"aragón","Hispanos_of_New_Mexico"
"archibeque","Hispanos_of_New_Mexico"
"archuleta","Hispanos_of_New_Mexico"
"arellano","Hispanos_of_New_Mexico"
"armijo","Hispanos_of_New_Mexico"
"atencio","Hispanos_of_New_Mexico"
"baca","Hispanos_of_New_Mexico"
"benavides","Hispanos_of_New_Mexico"
"borrego","Hispanos_of_New_Mexico"
"bustamante","Hispanos_of_New_Mexico"
"bustos/bustillos","Hispanos_of_New_Mexico"
"casados","Hispanos_of_New_Mexico"
"cedillo rico de rojas","Hispanos_of_New_Mexico"
"chávez","Hispanos_of_New_Mexico"
"cisneros","Hispanos_of_New_Mexico"
"córdova","Hispanos_of_New_Mexico"
"delgado","Hispanos_of_New_Mexico"
"domínguez de mendoza","Hispanos_of_New_Mexico"
"durán","Hispanos_of_New_Mexico"
"durán y chaves","Hispanos_of_New_Mexico"
"esquibel","Hispanos_of_New_Mexico"
"espinosa","Hispanos_of_New_Mexico"
"gallegos","Hispanos_of_New_Mexico"
"gabaldón","Hispanos_of_New_Mexico"
"garcía","Hispanos_of_New_Mexico"
"garcía jurado","Hispanos_of_New_Mexico"
"gómez","Hispanos_of_New_Mexico"
"gonzález","Hispanos_of_New_Mexico"
"griego","Hispanos_of_New_Mexico"
"guadalajara","Hispanos_of_New_Mexico"
"gurulé","Hispanos_of_New_Mexico"
"gutiérrez","Hispanos_of_New_Mexico"
"herrera","Hispanos_of_New_Mexico"
"jaramillo negrete","Hispanos_of_New_Mexico"
"jirón de tejeda","Hispanos_of_New_Mexico"
"jorge de vera","Hispanos_of_New_Mexico"
"jurdo de gracia","Hispanos_of_New_Mexico"
"leyva","Hispanos_of_New_Mexico"
"lobato/lovato","Hispanos_of_New_Mexico"
"lópez","Hispanos_of_New_Mexico"
"lópez de ocanto","Hispanos_of_New_Mexico"
"lópez del castillo","Hispanos_of_New_Mexico"
"lópez de gracia","Hispanos_of_New_Mexico"
"lópez holguín","Hispanos_of_New_Mexico"
"lópez sambrano","Hispanos_of_New_Mexico"
"lucero","Hispanos_of_New_Mexico"
"lucero de godoy","Hispanos_of_New_Mexico"
"luján","Hispanos_of_New_Mexico"
"luna","Hispanos_of_New_Mexico"
"madrid","Hispanos_of_New_Mexico"
"maese","Hispanos_of_New_Mexico"
"manzanares","Hispanos_of_New_Mexico"
"márquez","Hispanos_of_New_Mexico"
"martín serrano","Hispanos_of_New_Mexico"
"mascareñas","Hispanos_of_New_Mexico"
"medina","Hispanos_of_New_Mexico"
"mestas","Hispanos_of_New_Mexico"
"montes vigil","Hispanos_of_New_Mexico"
"miera y pacheco","Hispanos_of_New_Mexico"
"molina","Hispanos_of_New_Mexico"
"mondragón","Hispanos_of_New_Mexico"
"moreno de trujillo","Hispanos_of_New_Mexico"
"montaño","Hispanos_of_New_Mexico"
"montoya","Hispanos_of_New_Mexico"
"moraga","Hispanos_of_New_Mexico"
"moya","Hispanos_of_New_Mexico"
"naranjo","Hispanos_of_New_Mexico"
"nieto","Hispanos_of_New_Mexico"
"olivas","Hispanos_of_New_Mexico"
"ortega","Hispanos_of_New_Mexico"
"otriz","Hispanos_of_New_Mexico"
"páes hurtado","Hispanos_of_New_Mexico"
"pacheco","Hispanos_of_New_Mexico"
"padilla","Hispanos_of_New_Mexico"
"paredes","Hispanos_of_New_Mexico"
"pérez de bustillo","Hispanos_of_New_Mexico"
"peña","Hispanos_of_New_Mexico"
"pino","Hispanos_of_New_Mexico"
"quintana","Hispanos_of_New_Mexico"
"rael de aguilar","Hispanos_of_New_Mexico"
"rivera","Hispanos_of_New_Mexico"
"robledo","Hispanos_of_New_Mexico"
"rodríguez","Hispanos_of_New_Mexico"
"romero","Hispanos_of_New_Mexico"
"romo de vera","Hispanos_of_New_Mexico"
"roybal","Hispanos_of_New_Mexico"
"roybal y torrado","Hispanos_of_New_Mexico"
"sáez/sáenz","Hispanos_of_New_Mexico"
"sandoval martínez","Hispanos_of_New_Mexico"
"salas","Hispanos_of_New_Mexico"
"salazar","Hispanos_of_New_Mexico"
"sánchez","Hispanos_of_New_Mexico"
"sánchez de iñigo","Hispanos_of_New_Mexico"
"santisteban","Hispanos_of_New_Mexico"
"sedillo","Hispanos_of_New_Mexico"
"segura","Hispanos_of_New_Mexico"
"sena","Hispanos_of_New_Mexico"
"serna","Hispanos_of_New_Mexico"
"silva","Hispanos_of_New_Mexico"
"sisneros","Hispanos_of_New_Mexico"
"solano","Hispanos_of_New_Mexico"
"tafoya","Hispanos_of_New_Mexico"
"telles jirón","Hispanos_of_New_Mexico"
"tapia","Hispanos_of_New_Mexico"
"tenorio","Hispanos_of_New_Mexico"
"torrado","Hispanos_of_New_Mexico"
"torres/torrez","Hispanos_of_New_Mexico"
"trujillo","Hispanos_of_New_Mexico"
"ulibarrí","Hispanos_of_New_Mexico"
"vásquez de lara","Hispanos_of_New_Mexico"
"valdes","Hispanos_of_New_Mexico"
"varela","Hispanos_of_New_Mexico"
"vallejos","Hispanos_of_New_Mexico"
"vega y coca","Hispanos_of_New_Mexico"
"velásquez","Hispanos_of_New_Mexico"
"vera","Hispanos_of_New_Mexico"
"vitoria carvajal","Hispanos_of_New_Mexico"
"villalpando","Hispanos_of_New_Mexico"
"zamorano","Hispanos_of_New_Mexico"
"daoud khan","List_of_Afghans"
"nur muhammad taraki","List_of_Afghans"
"mohammad najibullah","List_of_Afghans"
"hamid karzai","List_of_Afghans"
"ashraf ghani","List_of_Afghans"
"mohammad siddiq chakari","List_of_Afghans"
"sediq afghan","List_of_Afghans"
"sayed hassan akhlaq","List_of_Afghans"
"jamal addin alafghani","List_of_Afghans"
"hedayat amin arsala","List_of_Afghans"
"mohammad amin fatemi","List_of_Afghans"
"nake m. kamrany","List_of_Afghans"
"habib mangal","List_of_Afghans"
"abdul ahad mohmand","List_of_Afghans"
"abdul karim mustaghni","List_of_Afghans"
"m. ishaq nadiri","List_of_Afghans"
"ghulam faroq nijrabi","List_of_Afghans"
"abbas noyan","List_of_Afghans"
"hamidullah qalandarzai","List_of_Afghans"
"mohammad qayoumi","List_of_Afghans"
"daud shah saba","List_of_Afghans"
"sima samar","List_of_Afghans"
"habiba sarobi","List_of_Afghans"
"nazif shahrani","List_of_Afghans"
"kabir stori","List_of_Afghans"
"zemaryalai tarzi","List_of_Afghans"
"abdul qayum tutakhail","List_of_Afghans"
"ghulam sediq wardak","List_of_Afghans"
"fatema akbari","List_of_Afghans"
"ehsan bayat","List_of_Afghans"
"sherkhan farnood","List_of_Afghans"
"fauzia gailani","List_of_Afghans"
"dawood jabarkhyl","List_of_Afghans"
"mahmud karzai","List_of_Afghans"
"roya mahboob","List_of_Afghans"
"sher khan nashir","List_of_Afghans"
"hafizi abru","List_of_Afghans"
"abu mansour alhosein ibn muhammad almarghani","List_of_Afghans"
"hamid naweed","List_of_Afghans"
"akram assem","List_of_Afghans"
"ghulam mohammad ghobar","List_of_Afghans"
"zalmay a. gulzad","List_of_Afghans"
"abdul hai habibi","List_of_Afghans"
"faiz mohammad katib hazara","List_of_Afghans"
"omara khan massoudi","List_of_Afghans"
"abdul shakoor rashad","List_of_Afghans"
"latif ahmadi","List_of_Afghans"
"leena alam","List_of_Afghans"
"siddiq barmak","List_of_Afghans"
"abdul ghafoor breshna","List_of_Afghans"
"sonia nassery cole","List_of_Afghans"
"zohre esmaeli","List_of_Afghans"
"josh gad","List_of_Afghans"
"azita ghanizada","List_of_Afghans"
"marina golbahari","List_of_Afghans"
"nelufar hedayat","List_of_Afghans"
"haji kamran","List_of_Afghans"
"kader khan","List_of_Afghans"
