"NAME","NATIONALITY"
"umberto nobile","List_of_Italians"
"antonio pigafetta","List_of_Italians"
"marco polo","List_of_Italians"
"pierre savorgnan de brazza","List_of_Italians"
"amerigo vespucci","List_of_Italians"
"romolo gessi","List_of_Italians"
"brighella","List_of_Italians"
"don camillo","List_of_Italians"
"juliet capulet","List_of_Italians"
"columbina","List_of_Italians"
"corleone family","List_of_Italians"
"ezio auditore da firenze","List_of_Italians"
"il dottore","List_of_Italians"
"ugo fantozzi","List_of_Italians"
"victor frankenstein","List_of_Italians"
"gianduja","List_of_Italians"
"harlequin","List_of_Italians"
"luigi","List_of_Italians"
"mario","List_of_Italians"
"romeo montague","List_of_Italians"
"salvo montalbano","List_of_Italians"
"pantalone","List_of_Italians"
"pedrolino","List_of_Italians"
"pierrot","List_of_Italians"
"pinocchio","List_of_Italians"
"pulcinella","List_of_Italians"
"scaramouche","List_of_Italians"
"trivelino","List_of_Italians"
"tony verdeschi","List_of_Italians"
"filoteo alberini","List_of_Italians"
"gianni amelio","List_of_Italians"
"michelangelo antonioni","List_of_Italians"
"dario argento","List_of_Italians"
"pupi avati","List_of_Italians"
"marco bellocchio","List_of_Italians"
"roberto benigni","List_of_Italians"
"bernardo bertolucci","List_of_Italians"
"luigi comencini","List_of_Italians"
"giuseppe de santis","List_of_Italians"
"vittorio de seta","List_of_Italians"
"vittorio de sica","List_of_Italians"
"ruggero deodato","List_of_Italians"
"federico fellini","List_of_Italians"
"marco ferreri","List_of_Italians"
"lucio fulci","List_of_Italians"
"matteo garrone","List_of_Italians"
"pietro germi","List_of_Italians"
"alberto lattuada","List_of_Italians"
"sergio leone","List_of_Italians"
"mario monicelli","List_of_Italians"
"nanni moretti","List_of_Italians"
"ermanno olmi","List_of_Italians"
"ferzan özpetek","List_of_Italians"
"pier paolo pasolini","List_of_Italians"
"giovanni pastrone","List_of_Italians"
"elio petri","List_of_Italians"
"gillo pontecorvo","List_of_Italians"
"francesco rosi","List_of_Italians"
"roberto rossellini","List_of_Italians"
"gabriele salvatores","List_of_Italians"
"michele soavi","List_of_Italians"
"silvio soldini","List_of_Italians"
"paolo sorrentino","List_of_Italians"
"paolo and vittorio taviani","List_of_Italians"
"giuseppe tornatore","List_of_Italians"
"luchino visconti","List_of_Italians"
"lina wertmüller","List_of_Italians"
"franco zeffirelli","List_of_Italians"
"valerio zurlini","List_of_Italians"
"leonetto cappiello","List_of_Italians"
"adolfo de carolis","List_of_Italians"
"onofrio catacchio","List_of_Italians"
"max crivello","List_of_Italians"
"gabriele dell'otto","List_of_Italians"
"franco donatelli","List_of_Italians"
"virginio livraghi","List_of_Italians"
"enrico mazzanti","List_of_Italians"
"bartolomeo pinelli","List_of_Italians"
"umberto verdirosi","List_of_Italians"
"maria zacchè","List_of_Italians"
"mezentius","List_of_Italians"
"lars porsena","List_of_Italians"
"lars tolumnius","List_of_Italians"
"scipio aemilianus","List_of_Italians"
"marcus aemilius lepidus","List_of_Italians"
"lucius aemilius paullus macedonicus","List_of_Italians"
"scipio africanus","List_of_Italians"
"mark antony","List_of_Italians"
"marcus atilius regulus","List_of_Italians"
"augustus","List_of_Italians"
"marcus aurelius","List_of_Italians"
"lucius junius brutus","List_of_Italians"
"marcus junius brutus the younger","List_of_Italians"
"julius caesar","List_of_Italians"
"marcus furius camillus","List_of_Italians"
"catiline","List_of_Italians"
"cato the elder","List_of_Italians"
"cato the younger","List_of_Italians"
"cicero","List_of_Italians"
"cincinnatus","List_of_Italians"
"appius claudius caecus","List_of_Italians"
"marcus claudius marcellus","List_of_Italians"
"publius clodius pulcher","List_of_Italians"
"lucius cornelius scipio barbatus","List_of_Italians"
"lucius cornelius sulla","List_of_Italians"
"manius curius dentatus","List_of_Italians"
"gaius duilius","List_of_Italians"
"germanicus","List_of_Italians"
"gaius gracchus","List_of_Italians"
"marcus licinius crassus","List_of_Italians"
"lucullus","List_of_Italians"
"gaius maecenas","List_of_Italians"
"gaius marius","List_of_Italians"
"quintus fabius maximus verrucosus","List_of_Italians"
"lucius aemilius paullus macedonicus","List_of_Italians"
"pontius pilate","List_of_Italians"
"antoninus pius","List_of_Italians"
"pompey","List_of_Italians"
"lucius tarquinius superbus","List_of_Italians"
"trajan","List_of_Italians"
"titus quinctius flamininus","List_of_Italians"
