"NAME","NATIONALITY"
"robertobenigni","List_of_Italians"
"ninocastelnuovo","List_of_Italians"
"tinocaspanello","List_of_Italians"
"ginocervi","List_of_Italians"
"eduardodefilippo","List_of_Italians"
"manueldepeppe","List_of_Italians"
"vittoriogassman","List_of_Italians"
"eliogermano","List_of_Italians"
"giancarlogiannini","List_of_Italians"
"terencehill","List_of_Italians"
"ninomanfredi","List_of_Italians"
"marcellomastroianni","List_of_Italians"
"amedeonazzari","List_of_Italians"
"albertosordi","List_of_Italians"
"ugotognazzi","List_of_Italians"
"totò","List_of_Italians"
"massimotroisi","List_of_Italians"
"rudolphvalentino","List_of_Italians"
"carloverdone","List_of_Italians"
"gianmariavolonté","List_of_Italians"
"stefanoaccorsi","List_of_Italians"
"claracalamai","List_of_Italians"
"claudiacardinale","List_of_Italians"
"eleonoraduse","List_of_Italians"
"virnalisi","List_of_Italians"
"ginalollobrigida","List_of_Italians"
"sophialoren","List_of_Italians"
"annamagnani","List_of_Italians"
"silvanamangano","List_of_Italians"
"mariangelamelato","List_of_Italians"
"sandramilo","List_of_Italians"
"alidavalli","List_of_Italians"
"monicavitti","List_of_Italians"
"monicabellucci","List_of_Italians"
"asiaargento","List_of_Italians"
"ornellamuti","List_of_Italians"
"valeriagolino","List_of_Italians"
"chiaracaselli","List_of_Italians"
"cocceiusauctus","List_of_Italians"
"hyginusgromaticus","List_of_Italians"
"luciusvitruviuscordo","List_of_Italians"
"rabirius","List_of_Italians"
"vitruvius","List_of_Italians"
"guglielmoagnelli","List_of_Italians"
"pietrobaseggio","List_of_Italians"
"bartolomeobon","List_of_Italians"
"bertolinobragerio","List_of_Italians"
"jacopocelega","List_of_Italians"
"diotisalvi","List_of_Italians"
"maginardo","List_of_Italians"
"lorenzomaitani","List_of_Italians"
"leonbattistaalberti","List_of_Italians"
"galeazzoalessi","List_of_Italians"
"iacomoandrea","List_of_Italians"
"antoniodasangallotheelder","List_of_Italians"
"antoniodasangallotheyounger","List_of_Italians"
"donatobramante","List_of_Italians"
"filippobrunelleschi","List_of_Italians"
"bernardobuontalenti","List_of_Italians"
"giacomodellaporta","List_of_Italians"
"giovannimariafalconetto","List_of_Italians"
"filarete","List_of_Italians"
"domenicofontana","List_of_Italians"
"giacomobarozzidavignola","List_of_Italians"
"francescodigiorgio","List_of_Italians"
"giulianodamaiano","List_of_Italians"
"giulianodasangallo","List_of_Italians"
"lucianolaurana","List_of_Italians"
"pirroligorio","List_of_Italians"
"michelozzo","List_of_Italians"
"andreapalladio","List_of_Italians"
"baldassareperuzzi","List_of_Italians"
"michelesanmicheli","List_of_Italians"
"jacoposansovino","List_of_Italians"
"vincenzoscamozzi","List_of_Italians"
"sebastianoserlio","List_of_Italians"
"francescoborromini","List_of_Italians"
"cosimofanzago","List_of_Italians"
"carlofontana","List_of_Italians"
"rosariogagliardi","List_of_Italians"
"guarinoguarini","List_of_Italians"
"filippojuvarra","List_of_Italians"
"baldassarrelonghena","List_of_Italians"
"carlomaderno","List_of_Italians"
"pietrodacortona","List_of_Italians"
"carlorainaldi","List_of_Italians"
"francescobartolomeorastrelli","List_of_Italians"
"nicolasalvi","List_of_Italians"
"giovannibattistavaccarini","List_of_Italians"
"luigivanvitelli","List_of_Italians"
"nicolabettoli","List_of_Italians"
"luigicagnola","List_of_Italians"
"luigicanina","List_of_Italians"
"antoniocorazzi","List_of_Italians"
"alessandrogalilei","List_of_Italians"
"giacomoleoni","List_of_Italians"
"giuseppevenanziomarvuglia","List_of_Italians"
"giovannibattistapiranesi","List_of_Italians"
"giacomoquarenghi","List_of_Italians"
"carlorossi","List_of_Italians"
"francescosabatini","List_of_Italians"
"giuseppevaladier","List_of_Italians"
"francoalbini","List_of_Italians"
"carloaymonino","List_of_Italians"
"ernestobasile","List_of_Italians"
"achillecastiglioni","List_of_Italians"
"giancarlodecarlo","List_of_Italians"
"ignaziogardella","List_of_Italians"
"adalbertolibera","List_of_Italians"
"alessandromendini","List_of_Italians"
"giovannimichelucci","List_of_Italians"
"carlomollino","List_of_Italians"
"luigimoretti","List_of_Italians"
"giovannimuzio","List_of_Italians"
"marcellopiacentini","List_of_Italians"
"renzopiano","List_of_Italians"
"giòponti","List_of_Italians"
"paoloportoghesi","List_of_Italians"
"aldorossi","List_of_Italians"
"giuseppesamonà","List_of_Italians"
"antoniosant'elia","List_of_Italians"
"carloscarpa","List_of_Italians"
"ettoresottsass","List_of_Italians"
"manfredotafuri","List_of_Italians"
"giuseppeterragni","List_of_Italians"
"vittoriogregotti","List_of_Italians"
"mariobellini","List_of_Italians"
"stefanoboeri","List_of_Italians"
"martinodacomo","List_of_Italians"
"pellegrinoartusi","List_of_Italians"
"carlopetrini","List_of_Italians"
"cesareantonioaccius","List_of_Italians"
"pagoloarsago","List_of_Italians"
"sebastianobianchi","List_of_Italians"
"alessandrodellavia","List_of_Italians"
"baldassaregabbugiani","List_of_Italians"
"enricobernardi","List_of_Italians"
"giovannibranca","List_of_Italians"
"matteocampanialimenis","List_of_Italians"
"secondocampini","List_of_Italians"
"alessandrocapra","List_of_Italians"
"giovannibattistacaproni","List_of_Italians"
"mariocastoldi","List_of_Italians"
"bernardcastro","List_of_Italians"
"ettorebugatti","List_of_Italians"
"leonardochiariglione","List_of_Italians"
"luiginegrelli","List_of_Italians"
"corradinod'ascanio","List_of_Italians"
"luigiemanueli","List_of_Italians"
"lorenzoallievi","List_of_Italians"
"federicofaggin","List_of_Italians"
"enricoforlanini","List_of_Italians"
"francescolanadeterzi","List_of_Italians"
"leonardodavinci","List_of_Italians"
"giovanniluppis","List_of_Italians"
"felicematteucci","List_of_Italians"
"antoniomeucci","List_of_Italians"
"riccardomorandi","List_of_Italians"
"pierluiginervi","List_of_Italians"
"camilloolivetti","List_of_Italians"
"piergiorgioperotto","List_of_Italians"
"giovannibattistapiatti","List_of_Italians"
"ignazioporro","List_of_Italians"
"agostinoramelli","List_of_Italians"
"raffaelerossetti","List_of_Italians"
"germainsommeiller","List_of_Italians"
"juaneloturriano","List_of_Italians"
"antóniodenoli","List_of_Italians"
"giovannibattistabelzoni","List_of_Italians"
"johncabot","List_of_Italians"
"sebastiancabot","List_of_Italians"
"christophercolumbus","List_of_Italians"
"henridetonti","List_of_Italians"
"giovannidapiandelcarpine","List_of_Italians"
"giovannidaverrazzano","List_of_Italians"
"alessandromalaspina","List_of_Italians"
"umbertonobile","List_of_Italians"
"antoniopigafetta","List_of_Italians"
"marcopolo","List_of_Italians"
"pierresavorgnandebrazza","List_of_Italians"
"amerigovespucci","List_of_Italians"
"romologessi","List_of_Italians"
"brighella","List_of_Italians"
"doncamillo","List_of_Italians"
